City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Tucuman,AR,-26.8241,-65.2226,73.4,33,40,4.61,scattered clouds
232,Gandajika,CD,-6.75,23.95,77.2,55,100,2.26,overcast clouds
233,Gat,IL,31.61,34.7642,77.68,100,0,3.8,clear sky
234,Sinnamary,GF,5.3833,-52.95,82.51,74,96,9.17,overcast clouds
235,Price,US,39.5994,-110.8107,83.12,19,0,0.0,clear sky
236,Half Moon Bay,US,37.4636,-122.4286,79.21,67,20,8.05,few clouds
237,Saskylakh,RU,71.9167,114.0833,24.4,92,96,6.53,overcast clouds
238,Georgetown,MY,5.4112,100.3354,80.89,90,20,2.3,few clouds
239,Christchurch,NZ,-43.5333,172.6333,57.42,73,20,1.14,few clouds
240,La Serena,CL,-29.9078,-71.2542,58.51,72,0,11.5,clear sky
241,Baijiantan,CN,45.6333,85.1833,66.0,18,100,2.57,overcast clouds
242,Marystown,CA,47.1666,-55.1483,53.85,100,27,8.01,scattered clouds
243,Ust-Kuyga,RU,70.0167,135.6,22.82,93,15,8.12,few clouds
244,Zeya,RU,53.75,127.2667,25.65,74,2,5.48,clear sky
245,Lensk,RU,60.7253,114.9278,39.87,99,100,4.21,overcast clouds
246,Hamilton,US,39.1834,-84.5333,82.9,71,40,10.36,scattered clouds
247,Alice Springs,AU,-23.7,133.8833,76.55,47,10,13.8,clear sky
248,Tautira,PF,-17.7333,-149.15,78.76,67,11,20.24,light rain
249,Bambous Virieux,MU,-20.3428,57.7575,71.22,78,20,11.5,light rain
250,Solnechnyy,RU,50.7214,136.6319,33.73,97,100,5.26,snow
251,Klaksvik,FO,62.2266,-6.589,52.72,98,100,23.31,light rain
252,Poso,ID,-1.3959,120.7524,75.65,87,72,2.75,broken clouds
253,Vung Tau,VN,10.346,107.0843,77.45,86,92,9.15,overcast clouds
254,East London,ZA,-33.0153,27.9116,58.59,87,100,19.22,moderate rain
255,Lodingen,NO,68.414,15.9951,42.94,79,69,9.35,broken clouds
256,Belaya Gora,RU,68.5333,146.4167,35.08,68,100,3.8,overcast clouds
257,Kyra,RU,49.5776,111.9753,36.0,78,7,4.7,clear sky
258,Hirara,JP,24.8,125.2833,78.6,81,91,17.94,overcast clouds
259,Kosa,RU,59.9445,54.9977,60.71,88,100,11.77,overcast clouds
260,Bima,ID,-8.4667,118.7167,75.47,91,73,4.92,broken clouds
261,Nagato,JP,34.3833,131.2,68.25,60,39,25.03,scattered clouds
262,Marsa Matruh,EG,31.3525,27.2453,75.99,65,0,12.66,clear sky
263,Mehamn,NO,71.0357,27.8492,44.55,87,100,19.57,overcast clouds
264,Kismayo,SO,-0.3582,42.5454,76.8,85,46,11.72,scattered clouds
265,Naryan-Mar,RU,67.6713,53.087,47.73,93,100,9.75,overcast clouds
266,Kaitangata,NZ,-46.2817,169.8464,51.49,74,100,4.25,light rain
267,Salamanca,ES,40.8333,-6.0,66.74,56,82,6.08,broken clouds
268,Cardston,CA,49.2,-113.3019,61.09,71,55,13.8,broken clouds
269,Khasan,RU,42.4308,130.6434,45.37,39,0,9.35,clear sky
270,Vila Franca Do Campo,PT,37.7167,-25.4333,77.2,90,18,4.23,few clouds
271,Nanortalik,GL,60.1432,-45.2371,43.3,96,100,12.77,overcast clouds
272,Khudumelapye,BW,-23.8833,24.75,56.26,22,1,19.26,clear sky
273,Pevek,RU,69.7008,170.3133,32.25,81,100,2.82,overcast clouds
274,Svetlyy,RU,54.675,20.1347,52.97,88,81,10.13,light rain
275,Vrangel,RU,42.7297,133.0839,43.57,50,0,12.84,clear sky
276,Viedma,AR,-40.8135,-62.9967,44.01,91,100,20.45,overcast clouds
277,Meiringen,CH,46.7268,8.184,55.18,54,100,5.75,overcast clouds
278,Bengkulu,ID,-3.8004,102.2655,74.5,89,100,2.93,overcast clouds
279,Cabo Rojo,PR,18.0866,-67.1457,77.92,91,100,19.15,moderate rain
280,Port Hardy,CA,50.6996,-127.4199,55.58,82,75,4.61,broken clouds
281,The Pas,CA,53.8251,-101.2541,66.22,52,75,9.22,broken clouds
282,Ketchikan,US,55.3422,-131.6461,63.07,63,0,13.8,clear sky
283,Byron Bay,AU,-28.65,153.6167,57.7,67,0,10.96,clear sky
284,Victoria,HK,22.2855,114.1577,85.32,83,41,8.01,scattered clouds
285,Culaman,PH,5.9603,125.6586,80.49,77,100,4.0,overcast clouds
286,Nuqui,CO,5.7125,-77.2708,79.48,83,100,10.07,light rain
287,Ajdabiya,LY,30.7554,20.2263,78.37,65,0,7.16,clear sky
288,Perth,AU,-31.9333,115.8333,53.19,92,75,8.05,broken clouds
289,Vestmannaeyjar,IS,63.4427,-20.2734,52.34,97,100,9.37,overcast clouds
290,Ratnagiri,IN,16.9833,73.3,75.56,83,100,2.19,overcast clouds
291,Vila Velha,BR,-20.3297,-40.2925,71.55,78,75,6.91,broken clouds
292,Anadyr,RU,64.75,177.4833,37.9,81,20,8.95,few clouds
293,Praia,CV,14.9215,-23.5087,79.34,78,40,12.66,scattered clouds
294,Kalmunai,LK,7.4167,81.8167,80.49,74,100,2.08,overcast clouds
295,Axim,GH,4.8699,-2.2405,75.6,90,100,9.17,light rain
296,Wadi Musa,JO,30.3222,35.4793,63.05,85,6,4.92,clear sky
297,Imbituba,BR,-28.24,-48.6703,60.84,94,100,9.17,moderate rain
298,Hasaki,JP,35.7333,140.8333,81.28,85,56,30.98,broken clouds
299,Pokhara,NP,28.2333,83.9833,70.27,88,95,4.76,overcast clouds
300,Balkanabat,TM,39.5108,54.3671,81.34,17,0,9.89,clear sky
301,Manzanillo,CU,20.3433,-77.1167,87.17,59,27,6.2,light rain
302,Port-Cartier,CA,50.0334,-66.8654,50.22,56,0,6.58,clear sky
303,Isangel,VU,-19.55,169.2667,80.71,100,40,2.3,scattered clouds
304,Sovetskiy,RU,61.3614,63.5842,51.1,94,100,6.06,light rain
305,Whitecourt,CA,54.1502,-115.6855,51.04,71,75,19.57,broken clouds
306,Forestville,US,38.8451,-76.875,85.64,52,20,12.66,few clouds
307,Senanga,ZM,-16.1167,23.2667,78.26,36,56,7.11,broken clouds
308,Kaniama,CD,-7.5667,24.1833,74.05,64,36,3.02,scattered clouds
309,Omaruru,NA,-21.4333,15.9333,56.16,19,0,6.93,clear sky
310,Dharchula,IN,29.85,80.5333,69.04,86,51,2.75,broken clouds
311,Saint-Augustin,CA,51.226,-58.6502,50.61,56,76,12.33,broken clouds
312,Kouroussa,GN,10.65,-9.8833,72.68,93,100,2.15,light rain
313,Toora-Khem,RU,52.4675,96.11,38.71,70,93,2.15,overcast clouds
314,San Patricio,US,28.017,-97.5169,93.15,50,77,13.06,broken clouds
315,Rio Claro,BR,-22.4114,-47.5614,80.47,33,50,7.18,scattered clouds
316,Cockburn Town,TC,21.4612,-71.1419,81.18,76,100,25.95,overcast clouds
317,Rafsanjan,IR,30.4067,55.9939,77.54,25,20,7.4,few clouds
318,Hurghada,EG,27.2574,33.8129,81.86,39,0,16.44,clear sky
319,Bousso,TD,10.4795,16.7117,76.6,85,100,1.81,light rain
320,Goderich,CA,43.7501,-81.7165,72.91,68,8,8.05,clear sky
321,Srednekolymsk,RU,67.45,153.6833,40.82,46,94,6.13,overcast clouds
322,Panjab,AF,34.388,67.0233,51.62,22,0,2.42,clear sky
323,Ancud,CL,-41.8697,-73.8203,43.23,66,5,7.23,clear sky
324,Chengzihe,CN,45.3333,131.0667,38.8,41,0,13.04,clear sky
325,Athabasca,CA,54.7169,-113.2854,50.41,76,100,16.6,overcast clouds
326,San Cristobal,VE,7.7669,-72.225,82.58,86,99,1.83,overcast clouds
327,Manggar,ID,-2.8833,108.2667,78.06,83,100,7.52,moderate rain
328,Shimoda,JP,34.6667,138.95,77.11,90,100,26.93,light rain
329,Teshie,GH,5.5836,-0.1072,77.56,88,75,12.66,broken clouds
330,Sao Filipe,CV,14.8961,-24.4956,78.82,76,51,9.98,broken clouds
331,Tessalit,ML,20.1986,1.0114,95.25,23,99,1.57,overcast clouds
332,Quatre Cocos,MU,-20.2078,57.7625,70.09,76,8,13.27,clear sky
333,Midland,US,31.9974,-102.0779,92.8,43,40,13.8,scattered clouds
334,Atar,MR,20.5169,-13.0499,96.58,22,99,4.76,overcast clouds
335,Promyshlennyy,RU,67.5833,63.9167,45.21,93,83,6.2,broken clouds
336,Mpongwe,ZM,-13.5091,28.155,74.07,27,36,6.38,scattered clouds
337,Birao,CF,10.2849,22.7882,74.48,87,27,4.21,scattered clouds
338,Bodden Town,KY,19.2833,-81.25,89.6,71,20,5.75,few clouds
339,Warri,NG,5.5167,5.75,74.95,92,100,3.83,overcast clouds
340,Cape Town,ZA,-33.9258,18.4232,59.09,79,40,3.44,scattered clouds
341,Zwettl,AT,48.6,15.1667,46.38,91,18,11.59,few clouds
342,Shenjiamen,CN,29.9576,122.298,70.72,67,1,22.57,clear sky
343,Adre,TD,13.4667,22.2,78.08,61,62,7.94,broken clouds
344,Kongsvinger,NO,60.1905,11.9977,48.87,68,27,8.01,scattered clouds
345,Ambanja,MG,-13.6833,48.45,73.35,82,84,1.43,broken clouds
346,Maceio,BR,-9.6658,-35.7353,78.24,73,20,8.05,few clouds
347,Dukat,RU,62.55,155.55,32.2,73,100,6.13,overcast clouds
